Date;13621 - International reserves - Total - daily - US$ (million)
01/12/2022;334,715
02/12/2022;334,542
05/12/2022;332,792
06/12/2022;332,475
07/12/2022;333,316
08/12/2022;333,509
09/12/2022;333,097
12/12/2022;329,823
13/12/2022;331,715
14/12/2022;331,844
15/12/2022;330,913
16/12/2022;330,581
19/12/2022;330,054
20/12/2022;330,064
21/12/2022;330,272
22/12/2022;330,067
23/12/2022;329,523
26/12/2022;329,659
27/12/2022;327,065
28/12/2022;326,351
29/12/2022;324,792
30/12/2022;324,703
02/01/2023;324,929
03/01/2023;325,245
04/01/2023;326,369
05/01/2023;325,206
06/01/2023;327,458
09/01/2023;328,850
10/01/2023;328,166
11/01/2023;328,673
12/01/2023;329,838
13/01/2023;330,549
16/01/2023;330,441
17/01/2023;330,716
18/01/2023;332,005
19/01/2023;331,622
20/01/2023;331,121
23/01/2023;331,145
24/01/2023;331,425
25/01/2023;331,666
26/01/2023;331,363
27/01/2023;331,219
30/01/2023;330,996
31/01/2023;331,122
01/02/2023;331,799
02/02/2023;336,035
03/02/2023;333,599
06/02/2023;331,672
07/02/2023;331,805
08/02/2023;331,853
09/02/2023;332,188
10/02/2023;331,112
13/02/2023;331,061
14/02/2023;330,597
15/02/2023;329,822
16/02/2023;329,583
17/02/2023;329,386
22/02/2023;328,752
23/02/2023;328,425
24/02/2023;327,404
27/02/2023;327,912
28/02/2023;328,098
01/03/2023;327,949
02/03/2023;332,775
03/03/2023;333,208
06/03/2023;333,873
07/03/2023;332,905
08/03/2023;332,730
09/03/2023;332,792
10/03/2023;335,690
13/03/2023;338,959
14/03/2023;337,689
15/03/2023;340,168
16/03/2023;338,929
17/03/2023;340,486
20/03/2023;340,481
21/03/2023;339,480
22/03/2023;339,628
23/03/2023;342,190
24/03/2023;342,318
27/03/2023;341,001
28/03/2023;340,665
29/03/2023;340,686
30/03/2023;340,809
31/03/2023;341,158
03/04/2023;342,462
04/04/2023;345,925
05/04/2023;346,675
06/04/2023;346,485
10/04/2023;344,851
11/04/2023;344,881
12/04/2023;345,477
13/04/2023;346,292
14/04/2023;344,831
17/04/2023;343,821
18/04/2023;344,290
19/04/2023;343,583
20/04/2023;344,575
24/04/2023;344,915
25/04/2023;345,600
26/04/2023;345,987
27/04/2023;345,105
28/04/2023;345,725
02/05/2023;345,996
03/05/2023;347,811
04/05/2023;348,841
05/05/2023;347,834
08/05/2023;347,649
09/05/2023;347,254
10/05/2023;348,017
11/05/2023;348,260
12/05/2023;347,356
15/05/2023;347,093
16/05/2023;346,284
17/05/2023;345,875
18/05/2023;344,651
19/05/2023;344,490
22/05/2023;344,070
23/05/2023;343,796
24/05/2023;343,697
25/05/2023;342,473
26/05/2023;341,576
29/05/2023;341,766
30/05/2023;343,065
31/05/2023;343,489
01/06/2023;344,611
02/06/2023;345,023
05/06/2023;344,588
06/06/2023;344,471
07/06/2023;343,893
09/06/2023;344,550
12/06/2023;344,324
13/06/2023;344,357
14/06/2023;344,665
15/06/2023;345,091
16/06/2023;345,070
19/06/2023;344,938
20/06/2023;345,203
21/06/2023;344,827
22/06/2023;344,573
23/06/2023;344,545
26/06/2023;344,904
27/06/2023;344,465
28/06/2023;344,447
29/06/2023;343,473
30/06/2023;343,620
03/07/2023;343,567
04/07/2023;343,649
05/07/2023;343,118
06/07/2023;341,525
07/07/2023;342,655
10/07/2023;343,001
11/07/2023;343,475
12/07/2023;345,494
13/07/2023;346,776
14/07/2023;346,975
17/07/2023;346,675
18/07/2023;347,431
19/07/2023;346,849
20/07/2023;345,856
21/07/2023;345,981
24/07/2023;345,983
25/07/2023;345,520
26/07/2023;345,780
27/07/2023;344,956
28/07/2023;345,312
31/07/2023;345,476
01/08/2023;344,235
02/08/2023;343,620
03/08/2023;343,559
04/08/2023;344,439
07/08/2023;344,661
08/08/2023;344,855
09/08/2023;344,977
10/08/2023;344,735
11/08/2023;343,501
14/08/2023;342,863
15/08/2023;342,746
16/08/2023;342,386
17/08/2023;341,755
18/08/2023;342,257
21/08/2023;341,540
22/08/2023;341,522
23/08/2023;342,732
24/08/2023;342,515
25/08/2023;341,798
28/08/2023;342,218
29/08/2023;343,332
30/08/2023;344,172
31/08/2023;344,177
01/09/2023;343,702
04/09/2023;343,711
05/09/2023;342,614
