sexo,ano,mes,cnae_2_secao,saldo
1,2020,1,A,14700
3,2020,1,A,1395
1,2020,1,B,86
3,2020,1,B,71
1,2020,1,C,31929
3,2020,1,C,23544
1,2020,1,D,-249
3,2020,1,D,-34
1,2020,1,E,356
3,2020,1,E,130
1,2020,1,F,30352
3,2020,1,F,1413
1,2020,1,G,-15538
3,2020,1,G,-37951
1,2020,1,H,-2571
3,2020,1,H,476
1,2020,1,I,447
3,2020,1,I,2333
1,2020,1,J,3200
3,2020,1,J,2322
1,2020,1,K,971
3,2020,1,K,759
1,2020,1,L,538
3,2020,1,L,525
1,2020,1,M,4744
3,2020,1,M,4346
1,2020,1,N,4984
3,2020,1,N,3288
1,2020,1,O,-165
3,2020,1,O,-280
1,2020,1,P,779
3,2020,1,P,6202
1,2020,1,Q,876
3,2020,1,Q,4643
1,2020,1,R,1522
3,2020,1,R,398
1,2020,1,S,587
3,2020,1,S,1537
1,2020,1,T,7
3,2020,1,T,-6
1,2020,1,U,-7
3,2020,1,U,12
1,2020,2,A,4765
3,2020,2,A,177
1,2020,2,B,916
3,2020,2,B,423
1,2020,2,C,13036
3,2020,2,C,20187
1,2020,2,D,159
3,2020,2,D,132
1,2020,2,E,1209
3,2020,2,E,170
1,2020,2,F,21321
3,2020,2,F,2149
1,2020,2,G,12382
3,2020,2,G,-6139
1,2020,2,H,5405
3,2020,2,H,2844
1,2020,2,I,3627
3,2020,2,I,8063
1,2020,2,J,2571
3,2020,2,J,1502
1,2020,2,K,1051
3,2020,2,K,848
1,2020,2,L,506
3,2020,2,L,590
1,2020,2,M,4329
3,2020,2,M,2806
1,2020,2,N,11298
3,2020,2,N,4221
1,2020,2,O,1845
3,2020,2,O,9406
1,2020,2,P,13303
3,2020,2,P,36186
1,2020,2,Q,1635
3,2020,2,Q,8078
1,2020,2,R,924
3,2020,2,R,547
1,2020,2,S,1010
3,2020,2,S,4878
1,2020,2,T,14
3,2020,2,T,-10
1,2020,2,U,0
3,2020,2,U,8
1,2020,3,A,-2914
3,2020,3,A,-1535
1,2020,3,B,-349
3,2020,3,B,156
1,2020,3,C,-21924
3,2020,3,C,-12259
1,2020,3,D,150
3,2020,3,D,19
1,2020,3,E,428
3,2020,3,E,38
1,2020,3,F,-13944
3,2020,3,F,771
1,2020,3,G,-25655
3,2020,3,G,-47072
1,2020,3,H,-2769
3,2020,3,H,-2681
1,2020,3,I,-36896
3,2020,3,I,-44478
1,2020,3,J,774
3,2020,3,J,-805
1,2020,3,K,945
3,2020,3,K,892
1,2020,3,L,-25
3,2020,3,L,37
1,2020,3,M,-1235
3,2020,3,M,-786
1,2020,3,N,-18868
3,2020,3,N,-17123
1,2020,3,O,650
3,2020,3,O,2822
1,2020,3,P,3369
3,2020,3,P,6942
1,2020,3,Q,2972
3,2020,3,Q,6495
1,2020,3,R,-2516
3,2020,3,R,-2796
1,2020,3,S,-1119
3,2020,3,S,-2038
1,2020,3,T,8
3,2020,3,T,1
1,2020,3,U,5
3,2020,3,U,2
1,2020,4,A,-3525
3,2020,4,A,-1916
1,2020,4,B,-1206
3,2020,4,B,-80
1,2020,4,C,-121547
3,2020,4,C,-79213
1,2020,4,D,76
3,2020,4,D,-26
1,2020,4,E,-2403
3,2020,4,E,-679
1,2020,4,F,-64754
3,2020,4,F,-4814
1,2020,4,G,-123642
3,2020,4,G,-119555
1,2020,4,H,-40897
3,2020,4,H,-11857
1,2020,4,I,-62597
3,2020,4,I,-73808
1,2020,4,J,-7065
3,2020,4,J,-6122
1,2020,4,K,-2038
3,2020,4,K,-3496
1,2020,4,L,-1604
3,2020,4,L,-2002
1,2020,4,M,-11533
3,2020,4,M,-11051
1,2020,4,N,-44344
3,2020,4,N,-46847
1,2020,4,O,-25
3,2020,4,O,-25
1,2020,4,P,-6867
3,2020,4,P,-16757
1,2020,4,Q,2260
3,2020,4,Q,618
1,2020,4,R,-7724
3,2020,4,R,-6860
1,2020,4,S,-7064
3,2020,4,S,-11286
1,2020,4,T,-21
3,2020,4,T,-16
1,2020,4,U,-2
3,2020,4,U,-3
1,2020,5,A,11868
3,2020,5,A,3912
1,2020,5,B,-501
3,2020,5,B,-43
1,2020,5,C,-60620
3,2020,5,C,-37284
1,2020,5,D,15
3,2020,5,D,-4
1,2020,5,E,-1870
3,2020,5,E,-358
1,2020,5,F,-18348
3,2020,5,F,-2370
1,2020,5,G,-49509
3,2020,5,G,-44765
1,2020,5,H,-22658
3,2020,5,H,-5155
1,2020,5,I,-25690
3,2020,5,I,-32317
1,2020,5,J,-2823
3,2020,5,J,-2114
1,2020,5,K,-1239
3,2020,5,K,-2104
1,2020,5,L,-776
3,2020,5,L,-838
1,2020,5,M,-5271
3,2020,5,M,-5535
1,2020,5,N,-10931
3,2020,5,N,-9668
1,2020,5,O,208
3,2020,5,O,276
1,2020,5,P,-5978
3,2020,5,P,-13030
1,2020,5,Q,3399
3,2020,5,Q,3945
1,2020,5,R,-3103
3,2020,5,R,-2585
1,2020,5,S,-3859
3,2020,5,S,-5126
1,2020,5,T,6
3,2020,5,T,-19
1,2020,5,U,-2
3,2020,5,U,2
1,2020,6,A,28979
3,2020,6,A,7850
1,2020,6,B,433
3,2020,6,B,203
1,2020,6,C,2281
3,2020,6,C,-6724
1,2020,6,D,-284
3,2020,6,D,-50
1,2020,6,E,-1158
3,2020,6,E,-219
1,2020,6,F,17105
3,2020,6,F,-216
1,2020,6,G,-5467
3,2020,6,G,-14332
1,2020,6,H,-6537
3,2020,6,H,-2313
1,2020,6,I,-15918
3,2020,6,I,-22185
1,2020,6,J,1188
3,2020,6,J,56
1,2020,6,K,-256
3,2020,6,K,-926
1,2020,6,L,-198
3,2020,6,L,-265
1,2020,6,M,-893
3,2020,6,M,-3002
1,2020,6,N,9733
3,2020,6,N,5390
1,2020,6,O,-19
3,2020,6,O,-251
1,2020,6,P,-7204
3,2020,6,P,-13213
1,2020,6,Q,3477
3,2020,6,Q,10082
1,2020,6,R,-2406
3,2020,6,R,-2115
1,2020,6,S,-1485
3,2020,6,S,-2375
1,2020,6,T,7
3,2020,6,T,-4
1,2020,6,U,-8
3,2020,6,U,-5
1,2020,7,A,18547
3,2020,7,A,4418
1,2020,7,B,751
3,2020,7,B,140
1,2020,7,C,39300
3,2020,7,C,12800
1,2020,7,D,61
3,2020,7,D,-25
1,2020,7,E,-267
3,2020,7,E,-130
1,2020,7,F,40502
3,2020,7,F,1453
1,2020,7,G,20882
3,2020,7,G,5259
1,2020,7,H,-1683
3,2020,7,H,-1776
1,2020,7,I,-10569
3,2020,7,I,-16283
1,2020,7,J,2999
3,2020,7,J,1368
1,2020,7,K,141
3,2020,7,K,-31
1,2020,7,L,488
3,2020,7,L,161
1,2020,7,M,3845
3,2020,7,M,1818
1,2020,7,N,6432
3,2020,7,N,3873
1,2020,7,O,-178
3,2020,7,O,-297
1,2020,7,P,-7017
3,2020,7,P,-12864
1,2020,7,Q,2968
3,2020,7,Q,10552
1,2020,7,R,-1369
3,2020,7,R,-1483
1,2020,7,S,-377
3,2020,7,S,-1130
1,2020,7,T,8
3,2020,7,T,6
1,2020,7,U,1
3,2020,7,U,4
1,2020,8,A,9385
3,2020,8,A,1299
1,2020,8,B,598
3,2020,8,B,276
1,2020,8,C,67398
3,2020,8,C,22789
1,2020,8,D,102
3,2020,8,D,18
1,2020,8,E,1409
3,2020,8,E,243
1,2020,8,F,47949
3,2020,8,F,2893
1,2020,8,G,31717
3,2020,8,G,15953
1,2020,8,H,835
3,2020,8,H,-1266
1,2020,8,I,-5685
3,2020,8,I,-10252
1,2020,8,J,3778
3,2020,8,J,2123
1,2020,8,K,627
3,2020,8,K,632
1,2020,8,L,466
3,2020,8,L,536
1,2020,8,M,8838
3,2020,8,M,3926
1,2020,8,N,21740
3,2020,8,N,12258
1,2020,8,O,-96
3,2020,8,O,41
1,2020,8,P,-838
3,2020,8,P,-7648
1,2020,8,Q,-1491
3,2020,8,Q,9467
1,2020,8,R,-934
3,2020,8,R,-870
1,2020,8,S,163
3,2020,8,S,-273
1,2020,8,T,10
3,2020,8,T,-3
1,2020,8,U,1
3,2020,8,U,3
1,2020,9,A,7833
3,2020,9,A,87
1,2020,9,B,572
3,2020,9,B,325
1,2020,9,C,77193
3,2020,9,C,30995
1,2020,9,D,114
3,2020,9,D,34
1,2020,9,E,1286
3,2020,9,E,181
1,2020,9,F,43667
3,2020,9,F,2735
1,2020,9,G,39338
3,2020,9,G,29723
1,2020,9,H,7912
3,2020,9,H,2396
1,2020,9,I,3472
3,2020,9,I,868
1,2020,9,J,5563
3,2020,9,J,3556
1,2020,9,K,626
3,2020,9,K,659
1,2020,9,L,634
3,2020,9,L,625
1,2020,9,M,7311
3,2020,9,M,5022
1,2020,9,N,24008
3,2020,9,N,17995
1,2020,9,O,-24
3,2020,9,O,-128
1,2020,9,P,-1707
3,2020,9,P,-7343
1,2020,9,Q,306
3,2020,9,Q,5404
1,2020,9,R,415
3,2020,9,R,-7
1,2020,9,S,1149
3,2020,9,S,757
1,2020,9,T,1
3,2020,9,T,17
