empresa,setor,pais_sede
Abbott Laboratories,"Pharmaceuticals, Biotechnology and Life Sciences",NA
Aflac,"Banks, Diverse Financials, Insurance",NA
Agricultural Bank of China,"Banks, Diverse Financials, Insurance",NA
Ahold Delhaize,Food and Staples Retailing,NA
Aktia Bank,"Banks, Diverse Financials, Insurance",NA
Alibaba Group,Software and Services,NA
Allianz,"Banks, Diverse Financials, Insurance",NA
Allstate,"Banks, Diverse Financials, Insurance",NA
American International Group,"Banks, Diverse Financials, Insurance",NA
Anglo American,"Mining - Iron, Aluminum, Other Metals",NA
ANZ,"Banks, Diverse Financials, Insurance",NA
Archer Daniels Midland,Food and Beverage Processing,NA
ASML Holding,Semiconductors and Semiconductors Equipment,NA
Baidu,Software and Services,NA
Banco Bradesco,"Banks, Diverse Financials, Insurance",NA
Bank of America,"Banks, Diverse Financials, Insurance",NA
Bank of China,"Banks, Diverse Financials, Insurance",NA
Bank of Montreal,"Banks, Diverse Financials, Insurance",NA
Bank of New York Mellon,"Banks, Diverse Financials, Insurance",NA
Bank of Nova Scotia,"Banks, Diverse Financials, Insurance",NA
Barclays,"Banks, Diverse Financials, Insurance",NA
Bavarian Nordic,"Pharmaceuticals, Biotechnology and Life Sciences",NA
BBVA-Banco Bilbao Vizcaya,"Banks, Diverse Financials, Insurance",NA
Becton Dickinson,Healthcare Equipment and Supplies,NA
BlackRock,"Banks, Diverse Financials, Insurance",NA
BP,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",NA
British American Tobacco,Tobacco,NA
BYD,Automobiles and Components,NA
Canadian Imperial Bank,"Banks, Diverse Financials, Insurance",NA
Canadian Natural Resources,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",NA
Capital One,"Banks, Diverse Financials, Insurance",NA
Caterpillar,Electrical Equipment and Machinery,NA
Centene,"Healthcare Providers and Services, and Healthcare Technology",NA
Charter Communications,Telecommunication Services,NA
