"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09"
"IMF.STA:ER(4.0.1)","NIC.USD_XDC.EOP_RT.M","OBS_VALUE","Nicaragua","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.02730427612268357","","","","","","","","",""
"IMF.STA:ER(4.0.1)","VUT.USD_XDC.EOP_RT.M","OBS_VALUE","Vanuatu","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.008077544426494346","0.008110300081103","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.USD_XDC.EOP_RT.M","OBS_VALUE","Kyrgyz Republic","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.01149425287356322","0.01143510577472842","0.01143514500335622","0.01157407407407407","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.USD_XDC.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","4.175792513221603E-4","4.021490847086832E-4","3.874031976259932E-4","3.773620505853829E-4","3.73245744998507E-4","","","","",""
"IMF.STA:ER(4.0.1)","SLB.USD_XDC.EOP_RT.M","OBS_VALUE","Solomon Islands","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.1176999999999999","0.1177133330281072","0.1180195112997938","0.1185943328097547","0.1197190188679245","0.1197","","","",""
"IMF.STA:ER(4.0.1)","SSD.USD_XDC.EOP_RT.M","OBS_VALUE","South Sudan, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","2.53833804245807E-4","2.325480967019634E-4","2.246811628256748E-4","2.242175692492599E-4","2.22590540316055E-4","2.220645662497212E-4","","","",""
"IMF.STA:ER(4.0.1)","LBN.USD_XDC.EOP_RT.M","OBS_VALUE","Lebanon","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","1.11731843575419E-5","1.11731843575419E-5","1.11731843575419E-5","1.11731843575419E-5","1.11731843575419E-5","1.11731843575419E-5","","","",""
"IMF.STA:ER(4.0.1)","PNG.USD_XDC.EOP_RT.M","OBS_VALUE","Papua New Guinea","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.25","0.2494","0.2487000000000003","0.2463999999999999","0.2451999999999999","0.2437999999999999","","","",""
"IMF.STA:ER(4.0.1)","URY.USD_XDC.EOP_RT.M","OBS_VALUE","Uruguay","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.02269323287795579","0.02319001901581559","0.02348244687096395","0.02373774538894296","0.0238384705237312","0.02399347377513316","0.02528572873470213","","",""
"IMF.STA:ER(4.0.1)","SLE.USD_XDC.EOP_RT.M","OBS_VALUE","Sierra Leone","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.04406839414771726","0.04423173892658416","0.04405577461065709","0.04410493446006739","0.04407053047697535","","","","",""
"IMF.STA:ER(4.0.1)","GMB.USD_XDC.EOP_RT.M","OBS_VALUE","Gambia, The","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.01445080055251978","0.01422451857337543","0.01410039481105471","0.01405578892505653","0.01403493375063699","0.01399580125962211","","","",""
"IMF.STA:ER(4.0.1)","TUR.USD_XDC.EOP_RT.M","OBS_VALUE","Türkiye, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.02836473072652003","0.027969524406207","0.02747407477618932","0.02645527141124323","0.02604047992604504","0.02557691938794432","0.02513939796169761","","",""
"IMF.STA:ER(4.0.1)","TWN.USD_XDC.EOP_RT.M","OBS_VALUE","Taiwan Province of China","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.03050547573289405","0.03059788262652224","0.03046922608165753","0.03013682116810319","0.03123340725239716","0.03341240936883959","0.03344257909169955","","",""
"IMF.STA:ER(4.0.1)","ISR.USD_XDC.EOP_RT.M","OBS_VALUE","Israel","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.2741979709350151","0.2795638803466592","0.2785515320334262","0.2689618074233459","0.2749518834204014","0.2842524161455372","0.2965599051008304","","",""
"IMF.STA:ER(4.0.1)","SYC.USD_XDC.EOP_RT.M","OBS_VALUE","Seychelles","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.06749154483156757","0.06734515151033278","0.06785195756374254","0.06837793854190884","0.06833074815336153","0.06834055465194155","0.06824168475071313","","",""
"IMF.STA:ER(4.0.1)","VNM.USD_XDC.EOP_RT.M","OBS_VALUE","Vietnam","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","4.109307581672488E-5","4.110996916752312E-5","4.044325810887325E-5","4.026251157547208E-5","4.007052412245552E-5","4.003523100328289E-5","3.991697269679068E-5","","",""
"IMF.STA:ER(4.0.1)","GUY.USD_XDC.EOP_RT.M","OBS_VALUE","Guyana","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.004796163069544365","0.004796163069544365","0.004796163069544365","0.004796163069544365","0.004796163069544365","0.004796163069544365","0.004796163069544365","","",""
"IMF.STA:ER(4.0.1)","KEN.USD_XDC.EOP_RT.M","OBS_VALUE","Kenya","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.007734388716454989","0.00773818920182126","0.00773840477428621","0.00773296524418771","0.007721983870320092","0.007737440779562633","0.007737883828054936","0.007737578478389717","",""
"IMF.STA:ER(4.0.1)","ZWE.USD_XDC.EOP_RT.M","OBS_VALUE","Zimbabwe","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.03876194352384829","0.03792820948508663","0.0376484761779267","0.03736166842266508","0.03729144757941214","0.03716063054157903","0.03711167273442516","","",""
