"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2022","2023","2024"
"IMF.STA:GFS_COFOG(11.0.0)","HKG.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","0.003486783174039644","0.003560009839867197","0.003353902819324249",""
"IMF.STA:GFS_COFOG(11.0.0)","HKG.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","3.124157723939521","4.239971719281832","3.52830576592911",""
"IMF.STA:GFS_COFOG(11.0.0)","HKG.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","0.01046034952211893","0.007120019679734395","0.006707805638648498",""
"IMF.STA:GFS_COFOG(11.0.0)","HKG.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","0.05927531395867395","0.05696015743787516","0.05701634792851223",""
"IMF.STA:GFS_COFOG(11.0.0)","HKG.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","4.142298410759097","5.194054356366241","4.138716079046123",""
"IMF.STA:GFS_COFOG(11.0.0)","BFA.S13.G2MF.GF0760_T.POGDP_PT.A","OBS_VALUE","Burkina Faso","General government","Expenditure by function","Health n.e.c., Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BFA.S13.G2MF.GF073_T.POGDP_PT.A","OBS_VALUE","Burkina Faso","General government","Expenditure by function","Hospital services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","HKG.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","0.9449182401647435","0.8864424501269322","0.5433322567305283",""
"IMF.STA:GFS_COFOG(11.0.0)","BFA.S13.G2MF.GF0740_T.POGDP_PT.A","OBS_VALUE","Burkina Faso","General government","Expenditure by function","Public health services, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BFA.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","Burkina Faso","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","BFA.S13.G2MF.GF07_T.POGDP_PT.A","OBS_VALUE","Burkina Faso","General government","Expenditure by function","Health, Transactions","Percent of GDP","Annual","Units","","","",""
