nome_pais,country
Estados Unidos,United States
Quiribáti,Kiribati
Áustria,Austria
Japão,Japan
França,France
Reino Unido,United Kingdom
Canadá,Canada
Islândia,Iceland
Alemanha,Germany
Nova Zelândia,New Zealand
El Salvador,El Salvador
Dinamarca,Denmark
Eslovênia,"Slovenia, Republic of"
Croácia,"Croatia, Republic of"
Finlândia,Finland
Austrália,Australia
Países Baixos,"Netherlands, The"
Portugal,Portugal
Macau,"Macao Special Administrative Region, People's Republic of China"
Itália,Italy
Andorra,"Andorra, Principality of"
Noruega,Norway
Espanha,Spain
Costa Rica,Costa Rica
Chipre,Cyprus
Grécia,Greece
Estônia,"Estonia, Republic of"
Bulgária,Bulgaria
San Marino,"San Marino, Republic of"
África do Sul,South Africa
Luxemburgo,Luxembourg
Malta,Malta
Polônia,"Poland, Republic of"
Hong Kong,"Hong Kong Special Administrative Region, People's Republic of China"
Bielorrússia,"Belarus, Republic of"
Lituânia,"Lithuania, Republic of"
Israel,Israel
Moldávia,"Moldova, Republic of"
Letônia,"Latvia, Republic of"
Brasil,Brazil
