Exercício: 2023
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 06 - Demonstrativo do Resultado Primário e Nominal
Tabela: Cálculo Acima da Linha - Receitas Primárias
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITAS CORRENTES (EXCETO FONTES RPPS) (I)";"siconfi-cor_ReceitasCorrentesExcetoFontesRPPS";39530735372,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6ReceitasTributarias";28810838196,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"ICMS";"siconfi-cor_RREO6ICMS";23085268548,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"IPVA";"siconfi-cor_RREO6IPVA";1078316000,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"ITCD";"siconfi-cor_RREO6ITCD";636317264,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"IRRF";"siconfi-cor_RREO6IRRF";2146469340,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6OutrasReceitasTributarias";1864467044,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Contribuições";"siconfi-cor_RREO6ReceitasDeContribuicoes";356544934,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Receita Patrimonial";"siconfi-cor_RREO6ReceitaPatrimonial";807653872,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Aplicações Financeiras (II)";"siconfi-cor_RREO6AplicacoesFinanceiras";669778569,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";137875303,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Transferências Correntes";"siconfi-cor_RREO6TransferenciasCorrentes";8140671607,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Cota-Parte do FPE";"siconfi-cor_RREO6CotaParteDoFPE";1434292376,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Transferências da LC nº 61/1989";"siconfi-cor_TransferenciasDaLCn611989";277677972,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Transferências do FUNDEB";"siconfi-cor_TransferenciasDoFUNDEB";3945627600,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Outras Transferências Correntes";"siconfi-cor_RREO6OutrasTransferenciasCorrentes";2483073659,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Demais Receitas Correntes";"siconfi-cor_RREO6DemaisReceitasCorrentes";1415026763,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Outras Receitas Financeiras (III)";"siconfi-cor_OutrasReceitasFinanceiras";21380632,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"Receitas Correntes Restantes";"siconfi-cor_RREO6DiversasReceitasCorrentes";1393646131,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITAS PRIMÁRIAS CORRENTES (EXCETO FONTES RPPS) (IV) = (I - (II + III))";"siconfi-cor_ReceitasPrimariasCorrentesExcetoFontesRPPS";38839576171,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITAS PRIMÁRIAS CORRENTES (COM FONTES RPPS) (V)";"siconfi-cor_ReceitasPrimariasCorrentesComFontesRPPS";3364643799,00
Governo do Estado de Santa Catarina;42;SC;7338473;"PREVISÃO ATUALIZADA";"RECEITAS NÃO PRIMÁRIAS CORRENTES (COM FONTES RPPS) (VI)";"siconfi-cor_ReceitasNaoPrimariasCorrentesComFontesRPPS";69730781,00
