Exercício: 2024
Período: 6o. bimestre
Escopo: Estados/DF
Anexo 06 - Demonstrativo do Resultado Primário e Nominal
Tabela: Cálculo Acima da Linha - Receitas Primárias
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"RECEITAS CORRENTES (EXCETO FONTES RPPS) (I)";"siconfi-cor_ReceitasCorrentesExcetoFontesRPPS";22405643923,07
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6ReceitasTributarias";13015834243,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"ICMS";"siconfi-cor_RREO6ICMS";10136188200,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"IPVA";"siconfi-cor_RREO6IPVA";419119900,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"ITCD";"siconfi-cor_RREO6ITCD";368909800,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"IRRF";"siconfi-cor_RREO6IRRF";1588966200,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_RREO6OutrasReceitasTributarias";502650143,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"Contribuições";"siconfi-cor_RREO6ReceitasDeContribuicoes";184962000,00
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"Receita Patrimonial";"siconfi-cor_RREO6ReceitaPatrimonial";1769906321,88
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"Aplicações Financeiras (II)";"siconfi-cor_RREO6AplicacoesFinanceiras";1619391121,88
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;"PREVISÃO ATUALIZADA";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";150515200,00
